start	end	text
0	5720	So, in 1766, there was this highly respected philosopher sitting in Königsberg, Germany.
6260	8600	He was a man of, like, extreme routine.
9160	13920	People famously said his neighbors would actually set their clocks by his daily walks.
14100	15780	Right, the ultimate man of reason.
15880	16400	Exactly.
16760	19780	I mean, he was deeply committed to rationalities with Immanuel Kant.
20240	26840	But at this particular moment in his life, Kant was completely obsessed with someone he had never actually met.
26900	28480	Which is so out of character for him.
28480	33020	Yeah, someone who seemed to represent the exact opposite of his hyper-rational world.
34060	37180	The man he just couldn't stop thinking about was Immanuel Swedenborg.
37680	41360	And that is such a bizarre historical collision, you know, when you really think about it.
41440	46300	I mean, Swedenborg was already a fascinating figure even before Kant got interested in him.
46420	46580	Right.
46760	49420	He was a prominent Swedish scientist, actually an engineer.
49560	53560	He spent his early career doing very grounded mathematical work.
53880	56940	You know, he designed canals, he worked on complex mining machinery.
56940	58140	Very practical stuff.
58480	58940	Oh, totally.
59520	62980	He wrote these massive treatises on metallurgy and physiology.
63860	68300	Basically, he was a deeply empirical thinker, completely rooted in the physical world.
68460	72300	But then, in his mid-50s, something just shifted entirely.
73280	75100	Swedenborg started reporting visions.
75440	76860	Yeah, intense visions.
76860	80660	He claimed he was having direct, vivid encounters with angels.
81280	85940	He described taking these incredible journeys through complex spiritual worlds.
86040	87740	And it wasn't just private journaling, right?
87800	88640	No, not at all.
89000	98300	The incident that really put him on the map, the one that traveled across here by word of mouth and eventually reached Kant's ears, was this claim that Swedenborg had witnessed a massive fire.
98300	100160	Oh, right, the Stockholm fire.
100240	100620	Exactly.
101040	112420	He claimed he saw a fire tearing through Stockholm, describing the flames and the destruction in real time, while he was literally sitting at a dinner party in Gothenburg, which is like roughly 300 kilometers away.
112420	122620	For a philosopher like Kant, who was essentially dedicating his entire life to establishing the rigorous foundations of what we can actually know, this was a profoundly troubling claim.
122820	123460	I could imagine.
123700	125460	It challenges everything he believed in.
125760	126180	Exactly.
126460	129000	He was intrigued, but deeply skeptical.
129460	134140	But, you know, instead of just dismissing it out of hand, Kant decided to actually investigate.
134420	135280	He went all in.
135480	136300	He really did.
136300	143120	He went out and bought Swedenborg's massive, newly published eight-volume work called The Arcana Coalestia.
143200	145260	It was an incredibly expensive set of books.
145540	147540	And Kant read through the entire thing.
147700	147960	Wow.
148260	148440	Yeah.
148540	159120	He was looking for hard evidence, trying to definitively categorize whether these visions were real or just, you know, the fluent ravings of a mind completely disconnected from reality.
159440	162840	And what he found was actually much harder to deal with than a simple delusion.
163220	163820	How so?
163820	168000	Well, I mean, when you read accounts of delusions, they're usually fragmented, right?
168180	172780	They're chaotic, contradictory, just a jumble of random hallucinations.
173120	175340	But Swedenborg's text wasn't like that at all.
175440	176100	It was structured.
176380	177280	Incredibly structured.
177420	180680	It was a highly detailed, internally coherent system.
181360	184440	The spiritual architecture he described had rigid rules.
185380	190780	Every single new vision he documented fit perfectly into the logic of the visions that came before it.
190820	191500	So it made sense.
191720	192840	Inside its own bubble.
193200	193680	Exactly.
194240	202020	If you accepted his premises, the entire massive eight-volume text held together without any obvious self-contradictions.
202020	205720	And that right there is the crux of the problem Kant ran into.
206340	209580	None of it could be verified against anything outside of the text itself.
209840	209940	Right.
210000	215260	It was a perfectly logical system on the inside, but it was entirely depatched from our shared physical reality.
215420	216820	There was just no external anchor.
216820	223220	So Kant ended up writing a piece called Dreams of a Spirit Seer as a direct response to this whole affair.
223620	228700	And if you read it casually, it just sounds like he is mercilessly mocking Swedenborg.
228860	230180	Just tearing him apart.
230180	230440	Yeah.
230440	237340	But if you look closer, underneath all that sarcasm, Kant is wrestling with a profound, terrifying question.
237940	244960	When does internally coherent reasoning actually count as knowledge rather than just being a very sluant, elaborate invention?
244960	246340	That is the million-dollar question.
246400	246620	Right.
